Filename,Extension,Size_MB,OS_Creation_Date,Duration_s,Width,Height,Metadata_Creation_Date,Location_Raw,Category_AI
analyze_content.py,.py,0.0,2026-05-30 12:09:22,,,,,,Desconocido
BMYN6525.MOV,.mov,58.7,2025-11-20 00:45:39,48.876009,1080.0,1920.0,2024-11-26T20:14:41Z,,Consultas / Examen
CQCZ0943.MOV,.mov,58.71,2025-11-20 00:45:44,48.876009,1080.0,1920.0,2024-11-26T20:18:29Z,,Consultas / Examen
DMBQ7297.MOV,.mov,71.12,2025-11-20 00:45:46,60.13,1080.0,1920.0,2024-11-26T20:35:35Z,,Consultas / Examen
EMLK7829.MOV,.mov,60.73,2025-11-20 00:45:49,51.024,1080.0,1920.0,2024-11-26T20:32:36Z,,Consultas / Examen
EWIS7235.MOV,.mov,50.65,2025-11-20 00:45:51,58.593,1080.0,1920.0,2024-11-26T19:50:40Z,,Consultas / Examen
extract_metadata.py,.py,0.0,2026-05-30 12:09:06,,,,,,Desconocido
FEIB6592.MOV,.mov,58.7,2025-11-20 00:45:53,48.876009,1080.0,1920.0,2024-11-26T20:11:39Z,,Consultas / Examen
FJDY5251.MOV,.mov,58.71,2025-11-20 00:45:55,48.876009,1080.0,1920.0,2024-11-26T20:19:53Z,,Consultas / Examen
FSBJ9501.MOV,.mov,4.47,2025-11-26 23:08:31,2.796667,1920.0,1440.0,2025-09-01T21:48:20.000000Z,,Personal / Selfie
GH012042.MP4,.mp4,2557.45,2026-01-31 18:58:32,711.018667,1920.0,1440.0,2025-09-16T16:09:59.000000Z,,Consultas / Examen
GH012043.MP4,.mp4,58.51,2026-01-31 19:01:18,16.298667,1920.0,1440.0,2025-12-22T12:03:18.000000Z,,Consultas / Examen
GH012044.MP4,.mp4,50.64,2026-01-31 19:01:22,14.122667,1920.0,1440.0,2025-12-22T12:03:55.000000Z,,Consultas / Examen
GH012045.MP4,.mp4,73.43,2026-01-31 19:01:25,20.437333,1920.0,1440.0,2025-12-22T12:04:42.000000Z,,Consultas / Examen
GH012046.MP4,.mp4,1316.78,2026-01-31 19:01:30,366.037333,1920.0,1440.0,2025-12-22T12:05:56.000000Z,,Consultas / Examen
GH012047.MP4,.mp4,35.87,2026-01-31 19:02:56,10.069333,1920.0,1440.0,2025-12-22T12:14:53.000000Z,,Consultas / Examen
